Country,Crime Index,Safety Index
Venezuela,84.25,15.75
Papua New Guinea,80.24,19.76
South Africa,77.07,22.93
Afghanistan,76.37,23.63
Honduras,74.78,25.22
Trinidad And Tobago,70.95,29.05
El Salvador,68.82,31.18
Guyana,68.74,31.26
Syria,68.09,31.91
Brazil,67.85,32.15
Jamaica,67.53,32.47
Angola,66.63,33.37
Peru,66.61,33.39
Namibia,65.89,34.11
Bangladesh,64.22,35.78
Nigeria,63.86,36.14
Puerto Rico,63.35,36.65
Argentina,63.31,36.69
Bahamas,62.25,37.75
Libya,62.00,38.00
Kenya,61.40,38.60
Belarus,60.27,39.73
Dominican Republic,60.14,39.86
Zimbabwe,58.88,41.12
Guatemala,58.15,41.85
Fiji,57.94,42.06
Malaysia,57.89,42.11
Tanzania,56.64,43.36
Uganda,56.07,43.93
Somalia,56.04,43.96
Maldives,55.99,44.01
Colombia,55.77,44.23
Mongolia,55.64,44.36
Kyrgyzstan,55.39,44.61
Bolivia,55.39,44.61
Costa Rica,55.34,44.66
Mexico,55.00,45.00
Ecuador,54.41,45.59
Kazakhstan,54.02,45.98
Botswana,52.84,47.16
Chile,52.08,47.92
Algeria,51.88,48.12
Belize,51.31,48.69
Uruguay,51.22,48.78
Cambodia,51.22,48.78
Ethiopia,50.03,49.97
France,49.20,50.80
Iran,49.19,50.81
Morocco,49.10,50.90
Paraguay,48.97,51.03
Iraq,48.77,51.23
Ghana,48.52,51.48
Nicaragua,48.37,51.63
Ukraine,48.28,51.72
Mauritius,47.89,52.11
United States,47.74,52.26
Sweden,47.20,52.80
Myanmar,47.17,52.83
Lebanon,46.96,53.04
Egypt,46.79,53.21
Moldova,46.56,53.44
Indonesia,46.23,53.77
Vietnam,46.09,53.91
Panama,45.85,54.15
United Kingdom,45.26,54.74
Ireland,45.02,54.98
India,44.72,55.28
Italy,44.37,55.63
Belgium,44.17,55.83
Greece,44.14,55.86
Palestine,43.96,56.04
Pakistan,43.86,56.14
Tunisia,43.40,56.60
Zambia,43.22,56.78
Bosnia And Herzegovina,43.01,56.99
Australia,42.44,57.56
New Zealand,42.26,57.74
Philippines,42.16,57.84
Albania,41.64,58.36
Montenegro,41.61,58.39
Sri Lanka,41.19,58.81
Canada,41.19,58.81
Jordan,40.73,59.27
Russia,40.13,59.87
Turkey,39.53,60.47
Thailand,39.38,60.62
Malta,38.93,61.07
North Macedonia,38.59,61.41
Serbia,38.26,61.74
Bulgaria,38.12,61.88
Latvia,37.21,62.79
Kosovo (Disputed Territory),36.12,63.88
Nepal,35.72,64.28
Germany,35.42,64.58
Hungary,34.81,65.19
Uzbekistan,34.70,65.30
Kuwait,34.04,65.96
Lithuania,33.84,66.16
Norway,33.35,66.65
Spain,33.13,66.87
Singapore,32.98,67.02
Luxembourg,32.15,67.85
Cyprus,31.97,68.03
Azerbaijan,31.66,68.34
Israel,31.21,68.79
China,30.17,69.83
Portugal,29.89,70.11
Slovakia,29.74,70.26
Poland,29.32,70.68
Cuba,29.09,70.91
Romania,28.35,71.65
Brunei,28.03,71.97
Netherlands,27.22,72.78
Finland,27.01,72.99
South Korea,26.86,73.14
Denmark,26.72,73.28
Bahrain,26.15,73.85
Saudi Arabia,25.93,74.07
Czech Republic,25.31,74.69
Rwanda,25.28,74.72
Austria,25.23,74.77
Croatia,24.91,75.09
Iceland,24.13,75.87
Estonia,23.38,76.62
Armenia,23.35,76.65
Georgia,22.62,77.38
Japan,21.95,78.05
Slovenia,21.79,78.21
Hong Kong,21.73,78.27
Switzerland,21.35,78.65
Isle Of Man,20.79,79.21
Oman,20.26,79.74
United Arab Emirates,15.35,84.65
Taiwan,15.24,84.76
Qatar,12.29,87.71
